#epsilon = 10^-6, POT = 1.44*10^18, rescale yield as NAp = column2*(epsilon/10^-6)^2 (POT/1.44*10^18)
#Log[10,mAp/GeV]	Log[10,NAp]

-2.969359805131367	4.060081182711871
-2.94951300610571	4.060081203352739
-2.9296662070800537	4.060081225969289
-2.909819408054397	4.060081250750651
-2.88997260902874	4.060081277904068
-2.870125810003083	4.060081307656631
-2.850279010977426	4.060081340257175
-2.83043221195177	4.0600813759783705
-2.810585412926113	4.0600814151190034
-2.790738613900456	4.060081458006479
-2.770891814874799	4.0600815049995695
-2.751045015849142	4.060081556491416
-2.7311982168234854	4.060081612912829
-2.711351417797829	4.060081674735906
-2.6915046187721714	4.060081742477981
-2.6716578197465144	4.060081816705981
-2.651811020720858	4.060081898041177
-2.6319642216952013	4.060081987164407
-2.6121174226695443	4.060082084821797
-2.5922706236438873	4.0600821918310395
-2.5724238246182303	4.060082309088267
-2.552577025592574	4.060082437575604
-2.532730226566917	4.060082578369432
-2.51288342754126	4.0600827326494775
-2.493036628515603	4.060082901708757
-2.473189829489946	4.060083086964501
-2.45334303046429	4.060083289970135
-2.4334962314386326	4.060083512428428
-2.4136494324129756	4.060083756205918
-2.393802633387319	4.060084023348749
-2.3739558343616625	4.060084316100057
-2.3541090353360055	4.060084636919051
-2.3342622363103485	4.060084988501979
-2.3144154372846915	4.06008537380515
-2.294568638259035	4.060085796070229
-2.2747218392333783	4.060086258852036
-2.2548750402077213	4.060086766049099
-2.235028241182064	4.060087321937255
-2.2151814421564078	4.060087931206608
-2.1953346431307508	4.060088599002194
-2.175487844105094	4.060089330968742
-2.1556410450794368	4.060090133299971
-2.1357942460537807	4.060091012792896
-2.1159474470281237	4.060091976907702
-2.0961006480024666	4.060093033833763
-2.0762538489768096	4.0600941925625165
-2.0564070499511526	4.060095462967931
-2.0365602509254956	4.060096855895424
-2.0167134518998395	4.06009838326021
-1.9968666528741823	4.060100058156155
-1.9770198538485253	4.060101894976367
-1.9571730548228685	4.060103909546929
-1.937326255797212	4.060106119275358
-1.917479456771555	4.060108543315594
-1.8976326577458982	4.060111202751601
-1.8777858587202412	4.0601141208019325
-1.8579390596945844	4.0601173230479874
-1.8380922606689278	4.060120837689086
-1.818245461643271	4.060124695827993
-1.798398662617614	4.060128931791057
-1.7785518635919573	4.060133583487856
-1.7587050645663003	4.060138692815992
-1.7388582655406435	4.060144306117692
-1.7190114665149865	4.060150474695939
-1.6991646674893297	4.060157255399296
-1.679317868463673	4.060164711286141
-1.6594710694380161	4.060172912381058
-1.6396242704123591	4.060181936538406
-1.6197774713867026	4.060191870430996
-1.5999306723610456	4.060202810685183
-1.5800838733353886	4.0602148651878025
-1.5602370743097318	4.060228154595391
-1.540390275284075	4.060242814082171
-1.5205434762584182	4.060258995370527
-1.5006966772327612	4.060276869096551
-1.4808498782071047	4.060296627573861
-1.4610030791814477	4.06031848803163
-1.4411562801557911	4.060342696418257
-1.421309481130134	4.060369531880355
-1.4014626821044773	4.060399312048787
-1.3816158830788203	4.06043239928934
-1.3617690840531633	4.060469208106235
-1.3419222850275068	4.0605102139223135
-1.3220754860018498	4.060555963500833
-1.3022286869761932	4.060607087320878
-1.282381887950536	4.06066431427112
-1.2625350889248794	4.060728489085111
-1.2426882898992224	4.060800593004423
-1.2228414908735659	4.058689035089803
-1.2029946918479086	4.058843087060247
-1.1831478928222519	4.059013387245132
-1.1633010937965953	4.059201823177537
-1.1434542947709385	4.059410542987486
-1.1236074957452815	4.059641999740488
-1.1037606967196245	4.059899004118717
-1.083913897693968	4.060184786788749
-1.0640670986683107	4.06050307188986
-1.0442202996426542	4.06085816313929
-1.0243735006169972	4.061255044082952
-1.0045267015913406	4.061699494024832
-0.9846799025656835	4.062198221156324
-0.9648331035400268	4.062759014397177
-0.9449863045143698	4.06339091548068
-0.9251395054887133	4.064104412902631
-0.9052927064630563	4.064911659546046
-0.8854459074373997	4.065826716130607
-0.8655991084117426	4.066865823151128
-0.8457523093860856	4.068047704685926
-0.8259055103604291	4.069393908384566
-0.806058711334772	4.070929187083768
-0.786211912309115	4.074777958986285
-0.7663651132834585	4.076659856018952
-0.7465183142578015	4.078818925071806
-0.7266715152321445	4.081300123808789
-0.706824716206488	4.084154594378473
-0.686977917180831	4.087440402885838
-0.6671311181551745	4.091223407497764
-0.6472843191295174	4.0955782875264894
-0.6274375201038603	4.100589772221763
-0.6075907210782038	4.106354115924306
-0.5877439220525468	4.11298087646548
-0.5678971230268899	4.120595067333542
-0.5480503240012333	4.130039946883474
-0.5282035249755763	4.1399919146444395
-0.5083567259499197	4.151432103541462
-0.48850992692426276	4.16458169853742
-0.46866312789860576	4.179697571437535
-0.4488163288729492	4.197079879082792
-0.42896952984729214	4.21708179345997
-0.4091227308216352	4.24012210708786
-0.3892759317959786	4.2667017896158566
-0.3694291327703216	4.297426088075174
-0.3495823337446646	4.333034585383771
-0.329735534719008	4.375860303001518
-0.30988873569335107	4.424064349415957
-0.29004193666769446	4.480710064965579
-0.2701951376420375	4.547727055418391
-0.2503483386163805	4.627712030418497
-0.23050153959072395	4.724284703671564
-0.2106547405650669	4.84274040930754
-0.19080794153940994	4.991423971374884
-0.1709611425137534	5.185412137968117
-0.15111434348809635	5.4611891479098205
-0.13126754446243982	5.97509356510994
-0.1114207454367828	7.406403763525514
-0.09157394641112583	5.839662327878464
-0.07172714738546923	5.39868345823765
-0.05188034835981227	5.1227142977852855
-0.032033549334155274	4.918874055746523
-0.012186750308498697	4.765078645094661
0.007660048717158267	4.65183237946876
0.027506847742815272	4.573612959578003
0.0473536467684719	4.5242830492040635
0.06720044579412886	4.488970498101248
0.08704724481978539	4.42887567088484
0.1068940438454424	4.279628561977545
0.12674084287109944	4.01308367769751
0.14658764189675594	3.6747902444185634
0.16643444092241302	3.3157578366761946
0.18628123994806997	2.9615316055645224
0.20612803897372656	2.6254221150179027
0.22597483799938356	2.312718359535698
0.24582163702504053	2.0214729198877213
0.2656684360506971	1.7471191938609745
0.28551523507635407	1.4855908842856222
0.3053620341020106	1.2339514217579115
0.32520883312766763	0.9901525615772625
0.3450556321533247	0.7527302670146017
0.3649024311789812	0.5205967483455779
0.3847492302046382	0.29291398192961393
0.4045960292302952	0.06901720263125309
0.4244428282559517	-0.15163293027455504
0.4442896272816088	-0.3694816078225375
0.46413642630726537	-0.5849012532140498
0.4839832253329223	-0.7982067324809137
0.5038300243585793	-1.0096665422351696
0.5236768233842359	-1.219511265786703
0.5435236224098928	-1.4279401067255395
0.5633704214355499	-1.6351260274262716
0.5832172204612064	-1.8412198490522338
0.6030640194868635	-2.046353562114048
0.6229108185125205	-2.250643026650736
0.6427576175381771	-2.4541901940966206
0.6626044165638341	-2.6570849503875125
0.6824512155894906	-2.859406656735542
0.7022980146151475	-3.0612254476059375
0.7221448136408045	-3.262603332760916
0.7419916126664611	-3.4635951405134073
0.7618384116921182	-3.6642493317211637
0.7816852107177752	-3.86460870800008
0.8015320097434316	-4.064711032779747
0.8213788087690888	-4.264589579913448
0.8412256077947456	-4.464273621413575
0.8610724068204023	-4.663788863377864
0.8809192058460593	-4.863157837198972
0.9007660048717159	-5.06240025161901
0.9206128038973729	-5.2615333100257295
0.9404596029230298	-5.460571996518468
0.9603064019486862	-5.659529333637977
0.9801532009743433	-5.858416614201939
1.0000000000000004	-6.057243609368902
