#Log[10,mAp/GeV]	Log[10,BF]

-2.969359805131367	0.
-2.94951300610571	0.
-2.9296662070800537	0.
-2.909819408054397	0.
-2.88997260902874	0.
-2.870125810003083	0.
-2.850279010977426	0.
-2.83043221195177	0.
-2.810585412926113	0.
-2.790738613900456	0.
-2.770891814874799	0.
-2.751045015849142	0.
-2.7311982168234854	0.
-2.711351417797829	0.
-2.6915046187721714	0.
-2.6716578197465144	0.
-2.651811020720858	0.
-2.6319642216952013	0.
-2.6121174226695443	0.
-2.5922706236438873	0.
-2.5724238246182303	0.
-2.552577025592574	0.
-2.532730226566917	0.
-2.51288342754126	0.
-2.493036628515603	0.
-2.473189829489946	0.
-2.45334303046429	0.
-2.4334962314386326	0.
-2.4136494324129756	0.
-2.393802633387319	-4.821637332766435e-17
-2.3739558343616625	0.
-2.3541090353360055	0.
-2.3342622363103485	0.
-2.3144154372846915	0.
-2.294568638259035	0.
-2.2747218392333783	0.
-2.2548750402077213	0.
-2.235028241182064	0.
-2.2151814421564078	0.
-2.1953346431307508	0.
-2.175487844105094	0.
-2.1556410450794368	0.
-2.1357942460537807	0.
-2.1159474470281237	0.
-2.0961006480024666	0.
-2.0762538489768096	0.
-2.0564070499511526	0.
-2.0365602509254956	0.
-2.0167134518998395	0.
-1.9968666528741823	0.
-1.9770198538485253	0.
-1.9571730548228685	0.
-1.937326255797212	0.
-1.917479456771555	0.
-1.8976326577458982	0.
-1.8777858587202412	0.
-1.8579390596945844	0.
-1.8380922606689278	0.
-1.818245461643271	0.
-1.798398662617614	0.
-1.7785518635919573	0.
-1.7587050645663003	0.
-1.7388582655406435	0.
-1.7190114665149865	0.
-1.6991646674893297	0.
-1.679317868463673	0.
-1.6594710694380161	0.
-1.6396242704123591	0.
-1.6197774713867026	0.
-1.5999306723610456	0.
-1.5800838733353886	0.
-1.5602370743097318	0.
-1.540390275284075	0.
-1.5205434762584182	0.
-1.5006966772327612	0.
-1.4808498782071047	0.
-1.4610030791814477	0.
-1.4411562801557911	0.
-1.421309481130134	0.
-1.4014626821044773	0.
-1.3816158830788203	0.
-1.3617690840531633	0.
-1.3419222850275068	0.
-1.3220754860018498	0.
-1.3022286869761932	0.
-1.282381887950536	0.
-1.2625350889248794	0.
-1.2426882898992224	0.
-1.2228414908735659	0.
-1.2029946918479086	0.
-1.1831478928222519	0.
-1.1633010937965953	0.
-1.1434542947709385	0.
-1.1236074957452815	0.
-1.1037606967196245	0.
-1.083913897693968	0.
-1.0640670986683107	0.
-1.0442202996426542	0.
-1.0243735006169972	0.
-1.0045267015913406	0.
-0.9846799025656835	0.
-0.9648331035400268	0.
-0.9449863045143698	0.
-0.9251395054887133	0.
-0.9052927064630563	0.
-0.8854459074373997	0.
-0.8655991084117426	0.
-0.8457523093860856	0.
-0.8259055103604291	0.
-0.806058711334772	0.
-0.786211912309115	0.
-0.7663651132834585	0.
-0.7465183142578015	0.
-0.7266715152321445	0.
-0.706824716206488	0.
-0.686977917180831	0.
-0.6671311181551745	-0.10747004044965137
-0.6472843191295174	-0.17580765517469224
-0.6274375201038603	-0.21004829372557662
-0.6075907210782038	-0.23203049173001616
-0.5877439220525468	-0.2474506384525653
-0.5678971230268899	-0.2587888452309189
-0.5480503240012333	-0.26737319749532007
-0.5282035249755763	-0.27400304783961865
-0.5083567259499197	-0.27919715533185047
-0.48850992692426276	-0.2833102602553197
-0.46866312789860576	-0.2865943693585963
-0.4488163288729492	-0.2892337288035762
-0.42896952984729214	-0.32191011224682414
-0.4091227308216352	-0.3253021633838387
-0.3892759317959786	-0.3363343798589481
-0.3694291327703216	-0.34620417762412964
-0.3495823337446646	-0.35762417080433884
-0.329735534719008	-0.3668611264026857
-0.30988873569335107	-0.3849848886812228
-0.29004193666769446	-0.40130704073379364
-0.2701951376420375	-0.4274522924559734
-0.2503483386163805	-0.45106122588848574
-0.23050153959072395	-0.4899474473182505
-0.2106547405650669	-0.5435359263477298
-0.19080794153940994	-0.6285801967735611
-0.1709611425137534	-0.7133449644313927
-0.15111434348809635	-0.8420335297211107
-0.13126754446243982	-1.0253558050235607
-0.1114207454367828	-1.1141766145751482
-0.09157394641112583	-0.8893722288384698
-0.07172714738546923	-0.7261559549874577
-0.05188034835981227	-0.6006039153626
-0.032033549334155274	-0.5235511565390139
-0.012186750308498697	-0.4814574020979582
0.007660048717158267	-1.5346893487045414
0.027506847742815272	-0.48766729468713765
0.0473536467684719	-0.452887408935324
0.06720044579412886	-0.4578113428355095
0.08704724481978539	-0.4720018777367298
0.1068940438454424	-0.49091720342141826
0.12674084287109944	-0.522554634304704
0.14658764189675594	-0.5598659989119016
0.16643444092241302	-0.5818613883242557
0.18628123994806997	-0.625831624155421
0.20612803897372656	-0.6436229642187894
0.22597483799938356	-0.6654916276580082
0.24582163702504053	-0.6719217876586293
0.2656684360506971	-0.6303513157140965
0.28551523507635407	-0.5967741477379536
0.3053620341020106	-0.6232395054963366
0.32520883312766763	-0.6329006663026775
0.3450556321533247	-0.6414636369348289
0.3649024311789812	-0.6414653890162176
0.3847492302046382	-0.6417167352458549
0.4045960292302952	-0.6420763376857971
0.4244428282559517	-0.6368988198348814
0.4442896272816088	-0.6226203570989136
0.46413642630726537	-0.6251892759842881
0.4839832253329223	-0.6586528284160373
0.5038300243585793	-0.6308504140664632
0.5236768233842359	-0.6363399036127686
0.5435236224098928	-0.6318867978370593
0.5633704214355499	-0.6862104854781444
0.5832172204612064	-0.7160831739641139
0.6030640194868635	-0.7893207271655894
0.6229108185125205	-0.8207822584285037
0.6427576175381771	-0.8220445434169199
0.6626044165638341	-0.7886450254896846
0.6824512155894906	-0.8132862234580294
0.7022980146151475	-0.8027364690736994
0.7221448136408045	-0.802544383619303
0.7419916126664611	-0.8037180237721422
0.7618384116921182	-0.8046620153247374
0.7816852107177752	-0.8066231495440571
0.8015320097434316	-0.814079616051766
0.8213788087690888	-0.8201010802621695
0.8412256077947456	-0.8241478867164475
0.8610724068204023	-0.8171761284492737
0.8809192058460593	-0.8167341556287615
0.9007660048717159	-0.8228016025491295
0.9206128038973729	-0.8098500076879612
0.9404596029230298	-0.8092895951854108
0.9603064019486862	-0.8198712194083899
0.9801532009743433	-0.8218978477852116
1.0000000000000004	-0.8243698064417679
